,date,new_cases,total_cases
6720,2019-12-31,0,0
6721,2020-01-01,0,0
6722,2020-01-02,0,0
6723,2020-01-03,0,0
6724,2020-01-04,0,0
6725,2020-01-05,0,0
6726,2020-01-06,0,0
6727,2020-01-07,0,0
6728,2020-01-08,0,0
6729,2020-01-09,0,0
6730,2020-01-10,0,0
6731,2020-01-11,0,0
6732,2020-01-12,0,0
6733,2020-01-13,0,0
6734,2020-01-14,0,0
6735,2020-01-15,0,0
6736,2020-01-16,0,0
6737,2020-01-17,0,0
6738,2020-01-18,0,0
6739,2020-01-19,0,0
6740,2020-01-20,0,0
6741,2020-01-21,0,0
6742,2020-01-22,0,0
6743,2020-01-23,0,0
6744,2020-01-24,0,0
6745,2020-01-25,0,0
6746,2020-01-26,0,0
6747,2020-01-27,0,0
6748,2020-01-28,0,0
6749,2020-01-29,0,0
6750,2020-01-30,0,0
6751,2020-01-31,0,0
6752,2020-02-01,1,1
6753,2020-02-02,0,1
6754,2020-02-03,0,1
6755,2020-02-04,0,1
6756,2020-02-05,0,1
6757,2020-02-06,0,1
6758,2020-02-07,0,1
6759,2020-02-08,0,1
6760,2020-02-09,0,1
6761,2020-02-10,1,2
6762,2020-02-11,0,2
6763,2020-02-12,0,2
6764,2020-02-13,0,2
6765,2020-02-14,0,2
6766,2020-02-15,0,2
6767,2020-02-16,0,2
6768,2020-02-17,0,2
6769,2020-02-18,0,2
6770,2020-02-19,0,2
6771,2020-02-20,0,2
6772,2020-02-21,0,2
6773,2020-02-22,0,2
6774,2020-02-23,0,2
6775,2020-02-24,0,2
6776,2020-02-25,1,3
6777,2020-02-26,4,7
6778,2020-02-27,5,12
6779,2020-02-28,13,25
6780,2020-02-29,9,34
6781,2020-03-01,32,66
6782,2020-03-02,17,83
6783,2020-03-03,31,114
6784,2020-03-04,37,151
6785,2020-03-05,49,200
6786,2020-03-06,61,261
6787,2020-03-07,113,374
6788,2020-03-08,56,430
6789,2020-03-09,159,589
6790,2020-03-10,615,1204
6791,2020-03-11,435,1639
6792,2020-03-12,501,2140
6793,2020-03-13,864,3004
6794,2020-03-14,1227,4231
6795,2020-03-15,1522,5753
6796,2020-03-16,2000,7753
6797,2020-03-17,1438,9191
6798,2020-03-18,1987,11178
6799,2020-03-19,2538,13716
6800,2020-03-20,3431,17147
6801,2020-03-21,2833,19980
6802,2020-03-22,4946,24926
6803,2020-03-23,3646,28572
6804,2020-03-24,4517,33089
6805,2020-03-25,6584,39673
6806,2020-03-26,7937,47610
6807,2020-03-27,8578,56188
6808,2020-03-28,7871,64059
6809,2020-03-29,8189,72248
6810,2020-03-30,6549,78797
6811,2020-03-31,6398,85195
